wl,lomandra1
378.23,3.6375
378.43,3.6355
378.64,3.649
378.84,3.6465
379.04,3.6445
379.25,3.651
379.45,3.6465
379.65,3.6575
379.86,3.717
380.06,3.708
380.27,3.704
380.47,3.702
380.67,3.7085
380.88,3.7285
381.08,3.731
381.28,3.733
381.49,3.7455
381.69,3.74
381.89,3.74
382.1,3.744
382.3,3.7595
382.5,3.755
382.71,3.7605
382.91,3.7695
383.11,3.7785
383.32,3.793
383.52,3.779
383.72,3.796
383.93,3.8
384.13,3.817
384.33,3.8235
384.54,3.834
384.74,3.8345
384.94,3.851
385.15,3.8465
385.35,3.86
385.55,3.867
385.76,3.855
385.96,3.8585
386.16,3.856
386.37,3.8585
386.57,3.864
386.77,3.8715
386.98,3.873
387.18,3.8775
387.38,3.8845
387.58,3.8875
387.79,3.89
387.99,3.898
388.19,3.883
388.4,3.897
388.6,3.918
388.8,3.9205
389.01,3.9135
389.21,3.9175
389.41,3.928
389.62,3.93
389.82,3.944
390.02,3.9535
390.23,3.954
390.43,3.9625
390.63,3.971
390.83,3.99
391.04,4
391.24,4.0085
391.44,4.013
391.65,4.0255
391.85,4.036
392.05,4.034
392.25,4.0465
392.46,4.05
392.66,4.054
392.86,4.059
393.07,4.0635
393.27,4.0665
393.47,4.0815
393.67,4.085
393.88,4.087
394.08,4.095
394.28,4.0995
394.49,4.115
394.69,4.124
394.89,4.1345
395.09,4.148
395.3,4.152
395.5,4.166
395.7,4.178
395.91,4.192
396.11,4.207
396.31,4.217
396.51,4.229
396.72,4.2375
396.92,4.242
397.12,4.255
397.32,4.269
397.53,4.2765
397.73,4.291
397.93,4.312
398.14,4.316
398.34,4.3335
398.54,4.353
398.74,4.361
398.95,4.371
399.15,4.3795
399.35,4.396
399.55,4.407
399.76,4.422
399.96,4.4385
400.16,4.448
400.36,4.459
400.57,4.471
400.77,4.4805
400.97,4.498
401.17,4.5125
401.38,4.526
401.58,4.535
401.78,4.5465
401.98,4.5655
402.19,4.5835
402.39,4.597
402.59,4.6095
402.79,4.6095
403,4.6145
403.2,4.622
403.4,4.6335
403.6,4.643
403.8,4.6425
404.01,4.6465
404.21,4.653
404.41,4.662
404.61,4.6705
404.82,4.679
405.02,4.6865
405.22,4.6925
405.42,4.7045
405.63,4.715
405.83,4.726
406.03,4.734
406.23,4.7335
406.43,4.7375
406.64,4.744
406.84,4.7475
407.04,4.7605
407.24,4.755
407.45,4.767
407.65,4.764
407.85,4.7685
408.05,4.7775
408.25,4.7825
408.46,4.797
408.66,4.8085
408.86,4.8115
409.06,4.8165
409.26,4.8225
409.47,4.831
409.67,4.8315
409.87,4.8415
410.07,4.849
410.27,4.849
410.48,4.8465
410.68,4.8595
410.88,4.8655
411.08,4.8825
411.28,4.899
411.49,4.9025
411.69,4.903
411.89,4.9105
412.09,4.9235
412.29,4.9295
412.5,4.937
412.7,4.9405
412.9,4.945
413.1,4.9605
413.3,4.966
413.51,4.968
413.71,4.9655
413.91,4.9715
414.11,4.969
414.31,4.98
414.51,4.9825
414.72,4.9915
414.92,5.0005
415.12,5.0165
415.32,5.023
415.52,5.036
415.73,5.036
415.93,5.049
416.13,5.064
416.33,5.0695
416.53,5.0775
416.73,5.079
416.94,5.088
417.14,5.099
417.34,5.106
417.54,5.1045
417.74,5.1095
417.94,5.122
418.15,5.1265
418.35,5.123
418.55,5.128
418.75,5.1375
418.95,5.142
419.15,5.1435
419.36,5.149
419.56,5.154
419.76,5.1615
419.96,5.169
420.16,5.1735
420.36,5.1795
420.56,5.186
420.77,5.1865
420.97,5.193
421.17,5.199
421.37,5.2015
421.57,5.2035
421.77,5.209
421.97,5.2115
422.18,5.2175
422.38,5.2235
422.58,5.2235
422.78,5.231
422.98,5.2335
423.18,5.236
423.38,5.2355
423.59,5.237
423.79,5.242
423.99,5.2445
424.19,5.249
424.39,5.25
424.59,5.2525
424.79,5.2555
425,5.258
425.2,5.258
425.4,5.258
425.6,5.261
425.8,5.2705
426,5.278
426.2,5.2785
426.4,5.2785
426.61,5.286
426.81,5.29
427.01,5.291
427.21,5.2915
427.41,5.2935
427.61,5.2925
427.81,5.289
428.01,5.292
428.21,5.2925
428.42,5.2935
428.62,5.292
428.82,5.29
429.02,5.296
429.22,5.2955
429.42,5.2995
429.62,5.299
429.82,5.301
430.02,5.3055
430.22,5.31
430.43,5.3085
430.63,5.3085
430.83,5.31
431.03,5.308
431.23,5.309
431.43,5.307
431.63,5.311
431.83,5.311
432.03,5.3095
432.23,5.308
432.44,5.3045
432.64,5.303
432.84,5.3055
433.04,5.31
433.24,5.309
433.44,5.3045
433.64,5.3045
433.84,5.301
434.04,5.3
434.24,5.2935
434.44,5.2945
434.64,5.294
434.85,5.2965
435.05,5.2965
435.25,5.3015
435.45,5.305
435.65,5.31
435.85,5.3105
436.05,5.312
436.25,5.309
436.45,5.3095
436.65,5.313
436.85,5.3195
437.05,5.324
437.25,5.325
437.45,5.3275
437.65,5.323
437.86,5.326
438.06,5.3295
438.26,5.33
438.46,5.3355
438.66,5.335
438.86,5.338
439.06,5.3385
439.26,5.3375
439.46,5.339
439.66,5.347
439.86,5.3475
440.06,5.3455
440.26,5.349
440.46,5.3535
440.66,5.3575
440.86,5.3525
441.06,5.3535
441.26,5.35
441.46,5.351
441.67,5.3565
441.87,5.3605
442.07,5.3655
442.27,5.365
442.47,5.3715
442.67,5.373
442.87,5.381
443.07,5.382
443.27,5.3835
443.47,5.3805
443.67,5.381
443.87,5.384
444.07,5.3895
444.27,5.393
444.47,5.3975
444.67,5.403
444.87,5.407
445.07,5.4075
445.27,5.4105
445.47,5.4135
445.67,5.4175
445.87,5.4205
446.07,5.4225
446.27,5.4265
446.47,5.4275
446.67,5.431
446.87,5.4325
447.07,5.437
447.27,5.4435
447.47,5.4485
447.67,5.457
447.87,5.4565
448.07,5.4575
448.27,5.461
448.47,5.462
448.67,5.466
448.87,5.4715
449.07,5.4785
449.27,5.4805
449.47,5.487
449.67,5.493
449.87,5.4975
450.07,5.5045
450.27,5.508
450.47,5.5095
450.67,5.512
450.87,5.5175
451.07,5.5185
451.27,5.529
451.47,5.5325
451.67,5.537
451.87,5.54
452.07,5.542
452.27,5.5405
452.47,5.5435
452.67,5.5485
452.87,5.5535
453.07,5.554
453.27,5.56
453.47,5.563
453.67,5.568
453.87,5.5715
454.07,5.578
454.27,5.581
454.47,5.5815
454.67,5.5855
454.87,5.5815
455.07,5.589
455.27,5.5905
455.47,5.591
455.67,5.593
455.87,5.593
456.07,5.5975
456.27,5.603
456.47,5.612
456.67,5.6165
456.87,5.615
457.06,5.615
457.26,5.6155
457.46,5.617
457.66,5.616
457.86,5.6175
458.06,5.6215
458.26,5.62
458.46,5.619
458.66,5.6235
458.86,5.6235
459.06,5.6255
459.26,5.628
459.46,5.622
459.66,5.6235
459.86,5.6295
460.06,5.629
460.26,5.629
460.46,5.6325
460.66,5.635
460.85,5.6345
461.05,5.6345
461.25,5.6355
461.45,5.631
461.65,5.6315
461.85,5.633
462.05,5.632
462.25,5.631
462.45,5.6315
462.65,5.6315
462.85,5.633
463.05,5.6335
463.25,5.6355
463.45,5.6335
463.65,5.6325
463.84,5.6355
464.04,5.637
464.24,5.6325
464.44,5.632
464.64,5.6305
464.84,5.6335
465.04,5.636
465.24,5.6355
465.44,5.641
465.64,5.643
465.84,5.6475
466.04,5.6495
466.23,5.6505
466.43,5.6515
466.63,5.655
466.83,5.655
467.03,5.6545
467.23,5.654
467.43,5.6555
467.63,5.656
467.83,5.651
468.03,5.653
468.22,5.657
468.42,5.6585
468.62,5.66
468.82,5.6575
469.02,5.657
469.22,5.6525
469.42,5.6535
469.62,5.6545
469.82,5.653
470.01,5.65
470.21,5.652
470.41,5.6525
470.61,5.6565
