Online Appendix to Endler & Mielke 2005
Values *  100         UV - type eye                               V - type eye
WAVELN     UVS+T     SWS+C     MWS+Y     LWS+R         UVS+T     SWS+C     MWS+Y     LWS+R
 508.0  0.000004  0.321576  0.116572  0.000000      0.004187  0.909747  0.098289  0.000000
 509.0  0.000004  0.300754  0.144995  0.000000      0.003764  0.865563  0.127175  0.000000
 510.0  0.000004  0.280858  0.177882  0.000000      0.003384  0.822298  0.161431  0.000000
 511.0  0.000003  0.261889  0.215416  0.000000      0.003043  0.780030  0.201305  0.000000
 512.0  0.000003  0.243843  0.257697  0.000000      0.002737  0.738827  0.246909  0.000000
 513.0  0.000003  0.226714  0.304741  0.000000      0.002463  0.698753  0.298223  0.000000
 514.0  0.000002  0.210491  0.356473  0.000000      0.002216  0.659863  0.355081  0.000000
 515.0  0.000002  0.195159  0.412726  0.000000      0.001994  0.622205  0.417186  0.000000
 516.0  0.000002  0.180701  0.473247  0.000000      0.001796  0.585821  0.484112  0.000000
 517.0  0.000002  0.167095  0.537700  0.000000      0.001617  0.550745  0.555323  0.000000
 518.0  0.000002  0.154319  0.605674  0.000000      0.001456  0.517005  0.630192  0.000000
 519.0  0.000002  0.142345  0.676691  0.000000      0.001312  0.484622  0.708018  0.000000
 520.0  0.000001  0.131145  0.750222  0.000000      0.001183  0.453608  0.788054  0.000000
 521.0  0.000001  0.120690  0.825694  0.000000      0.001066  0.423971  0.869520  0.000000
 522.0  0.000001  0.110948  0.902506  0.000000      0.000961  0.395711  0.951631  0.000000
 523.0  0.000001  0.101887  0.980039  0.000000      0.000867  0.368822  1.033611  0.000000
 524.0  0.000001  0.093473  1.057668  0.000000      0.000782  0.343292  1.114711  0.000000
 525.0  0.000001  0.085675  1.134774  0.000000      0.000706  0.319103  1.194222  0.000000
 526.0  0.000001  0.078457  1.210758  0.000000      0.000637  0.296232  1.271488  0.000000
 527.0  0.000001  0.071788  1.285041  0.000000      0.000576  0.274652  1.345911  0.000000
 528.0  0.000001  0.065634  1.357082  0.000000      0.000520  0.254331  1.416957  0.000000
 529.0  0.000001  0.059963  1.426375  0.000000      0.000470  0.235233  1.484163  0.000000
 530.0  0.000001  0.054745  1.492463  0.000000      0.000425  0.217318  1.547136  0.000000
 531.0  0.000000  0.049950  1.554935  0.000000      0.000384  0.200545  1.605550  0.000000
 532.0  0.000000  0.045547  1.613431  0.000000      0.000348  0.184869  1.659151  0.000000
 533.0  0.000000  0.041511  1.667643  0.000000      0.000314  0.170245  1.707745  0.000000
 534.0  0.000000  0.037813  1.717318  0.000000      0.000285  0.156625  1.751203  0.000000
 535.0  0.000000  0.034429  1.762253  0.000000      0.000258  0.143960  1.789449  0.000000
 536.0  0.000000  0.031335  1.802294  0.000000      0.000233  0.132203  1.822462  0.000000
 537.0  0.000000  0.028508  1.837338  0.000000      0.000211  0.121305  1.850263  0.000000
 538.0  0.000000  0.025928  1.867328  0.000000      0.000192  0.111217  1.872918  0.000000
 539.0  0.000000  0.023574  1.892249  0.000000      0.000174  0.101893  1.890526  0.000000
 540.0  0.000000  0.021428  1.912126  0.000000      0.000158  0.093286  1.903220  0.000000
 541.0  0.000000  0.019474  1.927019  0.000000      0.000143  0.085350  1.911157  0.000001
 542.0  0.000000  0.017694  1.937023  0.000000      0.000130  0.078043  1.914515  0.000002
 543.0  0.000000  0.016074  1.942259  0.000000      0.000118  0.071320  1.913493  0.000004
 544.0  0.000000  0.014601  1.942877  0.000001      0.000107  0.065144  1.908302  0.000008
 545.0  0.000000  0.013261  1.939046  0.000002      0.000097  0.059473  1.899162  0.000017
 546.0  0.000000  0.012044  1.930955  0.000004      0.000088  0.054273  1.886303  0.000033
 547.0  0.000000  0.010937  1.918807  0.000009      0.000080  0.049508  1.869958  0.000063
 548.0  0.000000  0.009932  1.902818  0.000019      0.000073  0.045145  1.850362  0.000117
 549.0  0.000000  0.009019  1.883214  0.000038      0.000066  0.041153  1.827753  0.000209
 550.0  0.000000  0.008190  1.860226  0.000072      0.000060  0.037504  1.802363  0.000360
 551.0  0.000000  0.007438  1.834092  0.000133      0.000055  0.034169  1.774424  0.000603
 552.0  0.000000  0.006755  1.805050  0.000237      0.000050  0.031124  1.744162  0.000981
